Date,Day_of_Week,Month,Year,Open,High,Low,Close,Prev_Close,Daily_Return_Pct,Volume_Shares_Mn,Turnover_Cr,50_Day_MA,200_Day_MA,RSI_14,India_VIX,Advance_Decline_Ratio,Top_Sector,Market_Sentiment,Is_Market_Holiday,Prev_Close_Recomputed,Daily_Return_Pct_Recomputed
2010-01-01,Friday,January,2010,5200.0,5238.12,5161.88,5200.0,5200.0,0.07,267.3,39537.4,5200.0,5200.0,50.0,18.0,1.02,Pharma,Neutral,No,,0.0
2010-01-04,Monday,January,2010,5207.64,5238.01,5193.46,5223.79,5200.0,0.46,187.6,10536.9,5211.9,5211.9,50.0,18.13,1.08,FMCG,Neutral,No,5200.0,0.4574999999999993
2010-01-05,Tuesday,January,2010,5238.05,5284.12,5147.9,5193.57,5223.79,-0.58,283.2,15345.0,5205.79,5205.79,52.29,18.41,0.23,FMCG,Neutral,No,5223.79,-0.5785071758244542
2010-01-06,Wednesday,January,2010,5168.25,5246.71,5058.82,5136.8,5193.57,-1.09,332.4,15932.4,5188.54,5188.54,21.47,16.79,0.94,Pharma,Bearish,No,5193.57,-1.0930824076694747
2010-01-07,Thursday,January,2010,5156.72,5170.51,5057.46,5071.02,5136.8,-1.28,141.2,6972.3,5165.04,5165.04,13.47,16.97,0.77,Auto,Bearish,No,5136.8,-1.2805637751129058
2010-01-08,Friday,January,2010,5081.47,5118.93,4900.6,4936.99,5071.02,-2.64,290.8,13065.3,5127.03,5127.03,7.66,19.21,0.26,Auto,Bearish,No,5071.02,-2.6430580041096396
2010-01-11,Monday,January,2010,4920.25,4961.1,4864.85,4905.58,4936.99,-0.64,223.9,11290.8,5095.39,5095.39,6.96,19.22,1.59,IT,Bearish,No,4936.99,-0.6362176143763681
2010-01-12,Tuesday,January,2010,4903.7,4995.62,4873.18,4964.72,4905.58,1.21,230.7,11338.8,5079.06,5079.06,20.67,19.33,1.12,Auto,Bearish,No,4905.58,1.2055659065798605
2010-01-13,Wednesday,January,2010,4977.2,5020.29,4922.63,4965.62,4964.72,0.02,259.2,13058.8,5066.45,5066.45,20.85,18.62,1.46,Banking,Bearish,No,4964.72,0.018127910536739962
2010-01-14,Thursday,January,2010,4949.57,5020.9,4918.82,4989.9,4965.62,0.49,191.1,10449.9,5058.8,5058.8,25.36,17.81,1.11,Auto,Bearish,No,4965.62,0.4889621034231324
2010-01-15,Friday,January,2010,4976.06,5018.93,4860.58,4902.81,4989.9,-1.75,249.1,11974.1,5044.62,5044.62,21.06,17.9,0.49,Energy,Bearish,No,4989.9,-1.7453255576263902
2010-01-18,Monday,January,2010,4903.08,4989.61,4868.85,4955.02,4902.81,1.06,287.0,13671.2,5037.15,5037.15,28.34,17.25,1.45,Banking,Bearish,No,4902.81,1.064899516807709
2010-01-19,Tuesday,January,2010,4948.54,4977.48,4895.01,4923.81,4955.02,-0.63,237.8,10890.6,5028.43,5028.43,26.86,17.86,1.04,Banking,Bearish,No,4955.02,-0.6298662770281458
2010-01-20,Wednesday,January,2010,4927.52,4977.48,4889.62,4934.5,4923.81,0.22,267.3,13665.8,5021.72,5021.72,28.15,18.17,0.86,Realty,Bearish,No,4923.81,0.21710829621775818
2010-01-21,Thursday,January,2010,4946.68,4995.78,4833.6,4882.05,4934.5,-1.06,296.0,14504.5,5012.41,5012.41,25.91,17.94,1.36,Metal,Bearish,No,4934.5,-1.062924308440568
2010-01-22,Friday,January,2010,4946.68,4969.56,4877.39,4960.78,4882.05,1.61,503.5,26222.5,5009.19,5009.19,52.29,17.8,1.2,IT,Bearish,No,4882.05,1.6126422302106609
2010-01-25,Monday,January,2010,4960.63,5065.58,4907.18,5011.58,4960.78,1.02,205.2,10416.3,5009.33,5009.33,37.63,18.58,1.23,Banking,Bearish,No,4960.78,1.0240325110164163
2010-01-26,Tuesday,January,2010,5024.02,5049.63,4982.69,5008.22,5011.58,-0.07,131.6,7082.9,5009.26,5009.26,40.57,24.57,1.53,IT,Neutral,No,5011.58,-0.0670447244182408
2010-01-27,Wednesday,January,2010,5006.64,5060.1,4954.2,5007.65,5008.22,-0.01,303.1,14619.2,5009.18,5009.18,44.86,19.99,1.35,FMCG,Neutral,No,5008.22,-0.011381289160632288
2010-01-28,Thursday,January,2010,4996.45,5032.31,4969.86,5005.68,5007.65,-0.04,406.0,20709.4,5009.0,5009.0,57.08,19.05,0.88,Energy,Neutral,No,5007.65,-0.03933981009054836
2010-01-29,Friday,January,2010,5023.03,5077.55,4938.37,4992.56,5005.68,-0.26,219.7,11322.4,5008.22,5008.22,59.32,19.21,1.12,IT,Neutral,No,5005.68,-0.2621022518419054
2010-02-01,Monday,February,2010,5023.03,5082.07,4917.65,5042.72,4992.56,1.0,250.6,12082.8,5009.79,5009.79,58.52,19.02,1.01,Pharma,Neutral,No,4992.56,1.0046949861393724
2010-02-02,Tuesday,February,2010,5043.69,5123.29,5022.09,5101.44,5042.72,1.16,285.2,14247.6,5013.77,5013.77,63.18,19.15,1.14,Metal,Bullish,No,5042.72,1.1644509312434428
2010-02-03,Wednesday,February,2010,5095.88,5147.93,5064.06,5115.98,5101.44,0.29,183.1,9537.7,5018.03,5018.03,62.47,18.9,0.99,IT,Bullish,No,5101.44,0.2850175636682969
2010-02-04,Thursday,February,2010,5101.81,5166.98,5026.9,5091.95,5115.98,-0.47,126.9,5842.6,5020.99,5020.99,71.37,17.97,1.27,Banking,Unknown,No,5115.98,-0.4697047291037054
2010-02-05,Friday,February,2010,5096.51,5165.44,5054.68,5123.39,5091.95,0.62,265.3,14643.3,5024.93,5024.93,69.96,17.69,0.57,Energy,Bullish,No,5091.95,0.6174451830831118
2010-02-08,Monday,February,2010,5130.46,5162.1,5083.6,5115.15,5123.39,-0.16,228.6,10783.6,5028.27,5028.27,73.99,17.9,1.21,Pharma,Bullish,No,5123.39,-0.16083101227899282
2010-02-09,Tuesday,February,2010,5102.43,5279.24,5038.33,5213.74,5115.15,1.93,231.5,10977.6,5034.89,5034.89,78.69,17.85,1.52,Banking,Bullish,No,5115.15,1.9274117083565516
2010-02-10,Wednesday,February,2010,5191.91,5279.88,5132.61,5220.26,5213.74,0.13,189.2,9313.8,5041.29,5041.29,88.36,19.29,1.23,Auto,Bullish,No,5213.74,0.12505418375293814
2010-02-11,Thursday,February,2010,5199.81,5229.21,5175.69,5205.06,5220.26,-0.29,150.2,7821.6,5046.74,5046.74,82.38,18.88,1.08,Energy,Bullish,No,5220.26,-0.29117323658208244
2010-02-12,Friday,February,2010,5233.37,5319.17,5195.78,5281.24,5205.06,1.46,314.4,16035.3,5054.31,5054.31,83.49,19.27,1.48,Banking,Bullish,No,5205.06,1.4635758281364553
2010-02-15,Monday,February,2010,5233.37,5385.3,5306.67,5380.19,5281.24,1.87,310.3,16494.9,5064.49,5064.49,87.33,20.05,1.4,IT,Neutral,No,5281.24,1.8736130151252324
2010-02-16,Tuesday,February,2010,5380.67,5442.48,5243.93,5304.87,5380.19,-1.4,300.7,14625.4,5071.78,5071.78,75.94,19.63,0.33,Banking,Bullish,No,5380.19,-1.399950559366857
2010-02-17,Wednesday,February,2010,5283.04,5419.97,5240.69,5376.87,5304.87,1.36,318.1,16190.8,5080.75,5080.75,78.86,19.56,1.36,Realty,Bullish,No,5304.87,1.3572434385762517
2010-02-18,Thursday,February,2010,5374.53,5431.93,5250.8,5307.49,5376.87,-1.29,351.1,17135.1,5087.23,5087.23,72.52,19.78,0.2,IT,Bullish,No,5376.87,-1.2903417787672031
2010-02-19,Friday,February,2010,5272.45,5299.68,5271.02,5298.24,5307.49,-0.17,239.4,11998.3,5093.09,5093.09,69.41,19.47,0.97,IT,Bullish,No,5307.49,-0.17428200524164908
2010-02-22,Monday,February,2010,5303.24,5395.39,5266.77,5358.54,5298.24,1.14,313.2,17465.4,5100.26,5100.26,69.48,18.66,1.17,Banking,Bullish,No,5298.24,1.1381137887298458
2010-02-23,Tuesday,February,2010,5342.56,5606.42,5296.24,5558.23,5358.54,3.73,508.8,28706.1,5112.32,5112.32,52.29,18.41,2.1,Realty,Bullish,No,5358.54,3.726574775965087
2010-02-24,Wednesday,February,2010,5538.05,5580.51,5535.43,5577.87,5558.23,0.35,295.6,15940.7,5124.25,5124.25,78.9,18.83,1.05,IT,Bullish,No,5558.23,0.3533498973594171
2010-02-25,Thursday,February,2010,5594.23,5653.67,5451.36,5509.91,5577.87,-1.22,294.8,15467.5,5133.89,5133.89,72.03,24.57,0.82,Pharma,Bullish,No,5577.87,-1.2183862298691084
