Date,Day_of_Week,Month,Year,Open,High,Low,Close,Prev_Close,Daily_Return_Pct,Volume_Shares_Mn,Turnover_Cr,50_Day_MA,200_Day_MA,RSI_14,India_VIX,Advance_Decline_Ratio,Top_Sector,Market_Sentiment,Is_Market_Holiday,Prev_Close_Recomputed,Daily_Return_Pct_Recomputed,Month_Num,Month_Name,Quarter,Day_of_Week_Clean,Daily_Range,Daily_Range_Pct,Rolling_Volatility_20D,Cumulative_Return_Pct,MA_Trend,VIX_Risk_Bucket
2010-01-01,Friday,January,2010,5200.0,5238.12,5161.88,5200.0,5200.0,0.07,267.3,39537.4,5200.0,5200.0,50.0,18.0,1.02,Pharma,Neutral,No,,0.0,1,January,1,Friday,76.23999999999978,1.466153846153842,,0.0,Sideways,Normal
2010-01-04,Monday,January,2010,5207.64,5238.01,5193.46,5223.79,5200.0,0.46,187.6,10536.9,5211.9,5211.9,50.0,18.13,1.08,FMCG,Neutral,No,5200.0,0.4574999999999993,1,January,1,Monday,44.55000000000018,0.855473880683,,0.4574999999999996,Sideways,Normal
2010-01-05,Tuesday,January,2010,5238.05,5284.12,5147.9,5193.57,5223.79,-0.58,283.2,15345.0,5205.79,5205.79,52.29,18.41,0.23,FMCG,Neutral,No,5223.79,-0.5785071758244542,1,January,1,Tuesday,136.22000000000025,2.600586095970834,,-0.12365384615384833,Sideways,Normal
2010-01-06,Wednesday,January,2010,5168.25,5246.71,5058.82,5136.8,5193.57,-1.09,332.4,15932.4,5188.54,5188.54,21.47,16.79,0.94,Pharma,Bearish,No,5193.57,-1.0930824076694747,1,January,1,Wednesday,187.89000000000033,3.6354665505732178,,-1.215384615384607,Sideways,Normal
2010-01-07,Thursday,January,2010,5156.72,5170.51,5057.46,5071.02,5136.8,-1.28,141.2,6972.3,5165.04,5165.04,13.47,16.97,0.77,Auto,Bearish,No,5136.8,-1.2805637751129058,1,January,1,Thursday,113.05000000000018,2.1922850183837825,0.7304092104167746,-2.480384615384601,Sideways,Normal
2010-01-08,Friday,January,2010,5081.47,5118.93,4900.6,4936.99,5071.02,-2.64,290.8,13065.3,5127.03,5127.03,7.66,19.21,0.26,Auto,Bearish,No,5071.02,-2.6430580041096396,1,January,1,Friday,218.32999999999993,4.296591340694719,1.0922507776658863,-5.057884615384623,Sideways,Normal
2010-01-11,Monday,January,2010,4920.25,4961.1,4864.85,4905.58,4936.99,-0.64,223.9,11290.8,5095.39,5095.39,6.96,19.22,1.59,IT,Bearish,No,4936.99,-0.6362176143763681,1,January,1,Monday,96.25,1.956201412529851,1.0005473522382542,-5.661923076923081,Sideways,Normal
2010-01-12,Tuesday,January,2010,4903.7,4995.62,4873.18,4964.72,4905.58,1.21,230.7,11338.8,5079.06,5079.06,20.67,19.33,1.12,Auto,Bearish,No,4905.58,1.2055659065798605,1,January,1,Tuesday,122.4399999999996,2.4968901033913085,1.1719229931187858,-4.524615384615394,Sideways,Normal
2010-01-13,Wednesday,January,2010,4977.2,5020.29,4922.63,4965.62,4964.72,0.02,259.2,13058.8,5066.45,5066.45,20.85,18.62,1.46,Banking,Bearish,No,4964.72,0.018127910536739962,1,January,1,Wednesday,97.65999999999985,1.9621473921080097,1.1136864583422998,-4.507307692307705,Sideways,Normal
2010-01-14,Thursday,January,2010,4949.57,5020.9,4918.82,4989.9,4965.62,0.49,191.1,10449.9,5058.8,5058.8,25.36,17.81,1.11,Auto,Bearish,No,4965.62,0.4889621034231324,1,January,1,Thursday,102.07999999999993,2.0624013803219254,1.09608322024596,-4.0403846153846406,Sideways,Normal
2010-01-15,Friday,January,2010,4976.06,5018.93,4860.58,4902.81,4989.9,-1.75,249.1,11974.1,5044.62,5044.62,21.06,17.9,0.49,Energy,Bearish,No,4989.9,-1.7453255576263902,1,January,1,Friday,158.35000000000036,3.182236548594678,1.1154818108031515,-5.715192307692318,Sideways,Normal
2010-01-18,Monday,January,2010,4903.08,4989.61,4868.85,4955.02,4902.81,1.06,287.0,13671.2,5037.15,5037.15,28.34,17.25,1.45,Banking,Bearish,No,4902.81,1.064899516807709,1,January,1,Monday,120.75999999999931,2.4629416611599098,1.158702623659559,-4.711153846153859,Sideways,Normal
2010-01-19,Tuesday,January,2010,4948.54,4977.48,4895.01,4923.81,4955.02,-0.63,237.8,10890.6,5028.43,5028.43,26.86,17.86,1.04,Banking,Bearish,No,4955.02,-0.6298662770281458,1,January,1,Tuesday,82.46999999999935,1.6665521547769513,1.1112818056855687,-5.311346153846164,Sideways,Normal
2010-01-20,Wednesday,January,2010,4927.52,4977.48,4889.62,4934.5,4923.81,0.22,267.3,13665.8,5021.72,5021.72,28.15,18.17,0.86,Realty,Bearish,No,4923.81,0.21710829621775818,1,January,1,Wednesday,87.85999999999967,1.7830470500373345,1.0808926046696214,-5.105769230769253,Sideways,Normal
2010-01-21,Thursday,January,2010,4946.68,4995.78,4833.6,4882.05,4934.5,-1.06,296.0,14504.5,5012.41,5012.41,25.91,17.94,1.36,Metal,Bearish,No,4934.5,-1.062924308440568,1,January,1,Thursday,162.17999999999938,3.278562591475482,1.0569083012860099,-6.114423076923103,Sideways,Normal
2010-01-22,Friday,January,2010,4946.68,4969.56,4877.39,4960.78,4882.05,1.61,503.5,26222.5,5009.19,5009.19,52.29,17.8,1.2,IT,Bearish,No,4882.05,1.6126422302106609,1,January,1,Friday,92.17000000000007,1.8632699103236932,1.1399185984688192,-4.600384615384645,Sideways,Normal
2010-01-25,Monday,January,2010,4960.63,5065.58,4907.18,5011.58,4960.78,1.02,205.2,10416.3,5009.33,5009.33,37.63,18.58,1.23,Banking,Bearish,No,4960.78,1.0240325110164163,1,January,1,Monday,158.39999999999964,3.1931428064580434,1.1486644863483708,-3.62346153846157,Sideways,Normal
2010-01-26,Tuesday,January,2010,5024.02,5049.63,4982.69,5008.22,5011.58,-0.07,131.6,7082.9,5009.26,5009.26,40.57,24.57,1.53,IT,Neutral,No,5011.58,-0.0670447244182408,1,January,1,Tuesday,66.94000000000051,1.3323991544619747,1.1148820285532626,-3.688076923076944,Sideways,Elevated
2010-01-27,Wednesday,January,2010,5006.64,5060.1,4954.2,5007.65,5008.22,-0.01,303.1,14619.2,5009.18,5009.18,44.86,19.99,1.35,FMCG,Neutral,No,5008.22,-0.011381289160632288,1,January,1,Wednesday,105.90000000000055,2.1151910263170617,1.0843588027064184,-3.6990384615384952,Sideways,Normal
2010-01-28,Thursday,January,2010,4996.45,5032.31,4969.86,5005.68,5007.65,-0.04,406.0,20709.4,5009.0,5009.0,57.08,19.05,0.88,Energy,Neutral,No,5007.65,-0.03933981009054836,1,January,1,Thursday,62.45000000000073,1.249887420068263,1.0559934805560098,-3.7369230769230932,Sideways,Normal
2010-01-29,Friday,January,2010,5023.03,5077.55,4938.37,4992.56,5005.68,-0.26,219.7,11322.4,5008.22,5008.22,59.32,19.21,1.12,IT,Neutral,No,5005.68,-0.2621022518419054,1,January,1,Friday,139.1800000000003,2.7708375223719606,1.0552038292298882,-3.9892307692307782,Sideways,Normal
